Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Amazon,1185732,3/15/2022,Northeast,New York,New York,Dasani Water,0.65,"11,000",7150.00,1787.50,0.25
Amazon,1185732,3/16/2022,Northeast,New York,New York,Coca-Cola,0.60,"12,500",7500.00,3750.00,0.50
Amazon,1185732,3/17/2022,Northeast,New York,New York,Diet Coke,0.55,"10,250",5637.50,1691.25,0.30
Amazon,1185732,3/18/2022,Northeast,New York,New York,Sprite,0.50,"9,500",4750.00,1662.50,0.35
Amazon,1185732,3/31/2022,Northeast,New York,New York,Fanta,0.50,"9,250",4625.00,1618.75,0.35
Amazon,1185732,4/17/2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,0.30
Amazon,1185732,4/18/2022,Northeast,New York,New York,Dasani Water,0.65,"10,750",6987.50,1746.88,0.25
Amazon,1185732,4/19/2022,Northeast,New York,New York,Coca-Cola,0.60,"12,000",7200.00,3600.00,0.50
Amazon,1185732,4/20/2022,Northeast,New York,New York,Diet Coke,0.55,"10,000",5500.00,1650.00,0.30
Amazon,1185732,4/21/2022,Northeast,New York,New York,Sprite,0.50,"9,250",4625.00,1618.75,0.35
Amazon,1185732,4/22/2022,Northeast,New York,New York,Fanta,0.50,"9,000",4500.00,1575.00,0.35
Amazon,1185732,4/23/2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,0.30
Amazon,1185732,4/24/2022,Northeast,New York,New York,Dasani Water,0.65,"10,000",6500.00,1625.00,0.25
Amazon,1185732,4/25/2022,Northeast,New York,New York,Powerade,0.65,"8,750",5687.50,1706.25,0.30
Amazon,1185732,4/26/2022,Northeast,New York,New York,Dasani Water,0.70,"10,000",7000.00,1750.00,0.25
Amazon,1185732,4/27/2022,Northeast,New York,New York,Coca-Cola,0.65,"11,500",7475.00,3737.50,0.50
Amazon,1185732,4/28/2022,Northeast,New York,New York,Diet Coke,0.55,"9,750",5362.50,1608.75,0.30
Amazon,1185732,4/29/2022,Northeast,New York,New York,Sprite,0.55,"9,200",5060.00,1771.00,0.35
Amazon,1185732,4/30/2022,Northeast,New York,New York,Fanta,0.55,"9,000",4950.00,1732.50,0.35
Amazon,1185732,5/1/2022,Northeast,New York,New York,Powerade,0.65,"8,750",5687.50,1706.25,0.30
Amazon,1185732,5/2/2022,Northeast,New York,New York,Dasani Water,0.70,"9,750",6825.00,1706.25,0.25
Amazon,1185732,5/3/2022,Northeast,New York,New York,Coca-Cola,0.65,"12,000",7800.00,3900.00,0.50
Amazon,1185732,5/4/2022,Northeast,New York,New York,Diet Coke,0.55,"10,000",5500.00,1650.00,0.30
Amazon,1185732,5/5/2022,Northeast,New York,New York,Sprite,0.55,"9,500",5225.00,1828.75,0.35
Amazon,1185732,5/6/2022,Northeast,New York,New York,Fanta,0.55,"9,000",4950.00,1732.50,0.35
Amazon,1185732,5/7/2022,Northeast,New York,New York,Powerade,0.65,"9,000",5850.00,1755.00,0.30
Amazon,1185732,7/18/2022,Northeast,New York,New York,Dasani Water,0.70,"10,000",7000.00,1750.00,0.25
Amazon,1197831,7/19/2022,Northeast,New York,New York,Coca-Cola,0.25,"9,000",2250.00,787.50,0.35
Amazon,1197831,7/20/2022,Northeast,New York,New York,Diet Coke,0.35,"9,000",3150.00,1102.50,0.35
Amazon,1197831,7/21/2022,Northeast,New York,New York,Sprite,0.35,"7,000",2450.00,857.50,0.35
Amazon,1197831,7/22/2022,Northeast,New York,New York,Fanta,0.35,"7,000",2450.00,1102.50,0.45
Amazon,1197831,7/23/2022,South,Texas,Houston,Powerade,0.40,"5,500",2200.00,660.00,0.30
Amazon,1197831,7/24/2022,South,Texas,Houston,Dasani Water,0.35,"7,000",2450.00,1225.00,0.50
Amazon,1197831,7/25/2022,South,Texas,Houston,Coca-Cola,0.25,"8,500",2125.00,743.75,0.35
Amazon,1197831,7/26/2022,South,Texas,Houston,Diet Coke,0.35,"8,500",2975.00,1041.25,0.35
Amazon,1197831,7/27/2022,South,Texas,Houston,Sprite,0.35,"6,750",2362.50,826.88,0.35
Amazon,1197831,7/28/2022,South,Texas,Houston,Fanta,0.35,"6,250",2187.50,984.38,0.45
Amazon,1197831,7/29/2022,South,Texas,Houston,Powerade,0.40,"5,000",2000.00,600.00,0.30
Amazon,1197831,7/30/2022,South,Texas,Houston,Dasani Water,0.35,"7,000",2450.00,1225.00,0.50
Amazon,1197831,7/31/2022,South,Texas,Houston,Coca-Cola,0.30,"8,750",2625.00,918.75,0.35
Amazon,1197831,8/1/2022,South,Texas,Houston,Diet Coke,0.40,"8,750",3500.00,1225.00,0.35
Amazon,1197831,8/2/2022,South,Texas,Houston,Sprite,0.35,"7,000",2450.00,857.50,0.35
FizzyCo,1197831,8/3/2022,South,Texas,Houston,Fanta,0.40,"6,000",2400.00,1080.00,0.45
FizzyCo,1197831,8/4/2022,South,Texas,Houston,Powerade,0.45,"5,000",2250.00,675.00,0.30
FizzyCo,1197831,8/5/2022,South,Texas,Houston,Dasani Water,0.40,"6,500",2600.00,1300.00,0.50
FizzyCo,1197831,8/6/2022,South,Texas,Houston,Coca-Cola,0.30,"9,000",2700.00,945.00,0.35
FizzyCo,1197831,8/7/2022,South,Texas,Houston,Diet Coke,0.40,"9,000",3600.00,1260.00,0.35
FizzyCo,1197831,8/8/2022,South,Texas,Houston,Sprite,0.35,"7,250",2537.50,888.13,0.35
FizzyCo,1197831,8/9/2022,South,Texas,Houston,Fanta,0.40,"6,250",2500.00,1125.00,0.45
Walmart,1197831,8/10/2022,South,Texas,Houston,Powerade,0.45,"5,250",2362.50,708.75,0.30
Walmart,1197831,8/11/2022,South,Texas,Houston,Dasani Water,0.40,"8,000",3200.00,1600.00,0.50
Walmart,1197831,8/12/2022,South,Texas,Houston,Coca-Cola,0.30,"9,250",2775.00,971.25,0.35
Walmart,1197831,8/13/2022,South,Texas,Houston,Diet Coke,0.40,"9,250",3700.00,1295.00,0.35
Walmart,1197831,8/14/2022,South,Texas,Houston,Sprite,0.35,"7,750",2712.50,949.38,0.35
Walmart,1197831,8/15/2022,South,Texas,Houston,Fanta,0.40,"7,000",2800.00,1260.00,0.45
Walmart,1197831,8/16/2022,South,Texas,Houston,Powerade,0.45,"6,000",2700.00,810.00,0.30
Walmart,1197831,8/17/2022,South,Texas,Houston,Dasani Water,0.40,"9,500",3800.00,1900.00,0.50
Walmart,1197831,8/18/2022,South,Texas,Houston,Coca-Cola,0.40,"9,500",3800.00,1330.00,0.35
Walmart,1197831,8/19/2022,South,Texas,Houston,Diet Coke,0.45,"9,500",4275.00,1496.25,0.35
Walmart,1197831,8/20/2022,South,Texas,Houston,Sprite,0.40,"8,000",3200.00,1120.00,0.35
Walmart,1197831,8/21/2022,South,Texas,Houston,Fanta,0.40,"7,500",3000.00,1350.00,0.45
Walmart,1197831,8/22/2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,0.30
Walmart,1197831,8/23/2022,South,Texas,Houston,Dasani Water,0.50,"10,000",5000.00,2500.00,0.50
Walmart,1197831,8/24/2022,South,Texas,Houston,Coca-Cola,0.40,"9,500",3800.00,1330.00,0.35
Walmart,1197831,8/25/2022,South,Texas,Houston,Diet Coke,0.45,"9,500",4275.00,1496.25,0.35
Walmart,1197831,8/26/2022,South,Texas,Houston,Sprite,0.40,"11,000",4400.00,1540.00,0.35
Walmart,1197831,8/27/2022,South,Texas,Houston,Fanta,0.40,"7,000",2800.00,1260.00,0.45
Walmart,1197831,8/28/2022,South,Texas,Houston,Powerade,0.45,"7,000",3150.00,945.00,0.30
Walmart,1197831,8/29/2022,South,Texas,Houston,Dasani Water,0.50,"9,750",4875.00,2437.50,0.50
Walmart,1197831,8/30/2022,South,Texas,Houston,Coca-Cola,0.40,"9,250",3700.00,1295.00,0.35
Walmart,1197831,8/31/2022,South,Texas,Houston,Diet Coke,0.45,"9,250",4162.50,1456.88,0.35
Walmart,1197831,9/1/2022,South,Texas,Houston,Sprite,0.40,"11,000",4400.00,1540.00,0.35
Walmart,1197831,9/2/2022,South,Texas,Houston,Fanta,0.40,"6,500",2600.00,1170.00,0.45
Walmart,1197831,9/3/2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,0.30
Walmart,1197831,9/4/2022,South,Texas,Houston,Dasani Water,0.50,"9,000",4500.00,2250.00,0.50
Walmart,1197831,9/5/2022,South,Texas,Houston,Coca-Cola,0.45,"8,500",3825.00,1338.75,0.35
Walmart,1197831,9/6/2022,South,Texas,Houston,Diet Coke,0.45,"8,500",3825.00,1338.75,0.35
Walmart,1197831,9/7/2022,South,Texas,Houston,Sprite,0.50,"9,000",4500.00,1575.00,0.35
Walmart,1197831,9/8/2022,South,Texas,Houston,Fanta,0.50,"6,250",3125.00,1406.25,0.45
Walmart,1197831,9/9/2022,South,Texas,Houston,Powerade,0.45,"6,250",2812.50,843.75,0.30
Walmart,1197831,9/10/2022,South,Texas,Houston,Dasani Water,0.55,"8,500",4675.00,2337.50,0.50
Walmart,1197831,9/11/2022,South,Texas,Houston,Coca-Cola,0.45,"8,000",3600.00,1260.00,0.35
Walmart,1197831,9/12/2022,South,Texas,Houston,Diet Coke,0.45,"8,000",3600.00,1260.00,0.35
Walmart,1197831,9/13/2022,South,Texas,Houston,Sprite,0.50,"7,500",3750.00,1312.50,0.35
Walmart,1197831,9/14/2022,South,Texas,Houston,Fanta,0.50,"6,000",3000.00,1350.00,0.45
Walmart,1197831,9/15/2022,South,Texas,Houston,Powerade,0.45,"5,750",2587.50,776.25,0.30
Walmart,1197831,9/16/2022,South,Texas,Houston,Dasani Water,0.55,"7,500",4125.00,2062.50,0.50
Walmart,1197831,10/20/2022,South,Texas,Houston,Coca-Cola,0.45,"9,000",4050.00,1417.50,0.35
Walmart,1197831,10/21/2022,South,Texas,Houston,Diet Coke,0.45,"9,000",4050.00,1417.50,0.35
Walmart,1197831,10/22/2022,South,Texas,Houston,Sprite,0.50,"8,250",4125.00,1443.75,0.35
Walmart,1197831,10/23/2022,South,Texas,Houston,Fanta,0.50,"6,750",3375.00,1518.75,0.45
Walmart,1197831,10/24/2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,0.30
Walmart,1197831,10/25/2022,South,Texas,Houston,Dasani Water,0.55,"8,500",4675.00,2337.50,0.50
Walmart,1197831,10/26/2022,South,Texas,Houston,Coca-Cola,0.45,"9,500",4275.00,1496.25,0.35
Walmart,1197831,10/27/2022,South,Texas,Houston,Diet Coke,0.45,"9,500",4275.00,1496.25,0.35
Walmart,1197831,10/28/2022,South,Texas,Houston,Sprite,0.50,"8,500",4250.00,1487.50,0.35
Walmart,1197831,10/29/2022,South,Texas,Houston,Fanta,0.50,"7,000",3500.00,1575.00,0.45
Walmart,1197831,10/30/2022,South,Texas,Houston,Powerade,0.45,"6,500",2925.00,877.50,0.30
Walmart,1197831,10/31/2022,South,Texas,Houston,Dasani Water,0.55,"9,000",4950.00,2475.00,0.50
West Soda,1128299,11/1/2022,South,Texas,Houston,Coca-Cola,0.40,"7,750",3100.00,1085.00,0.35
West Soda,1128299,11/2/2022,South,Texas,Houston,Diet Coke,0.50,"7,750",3875.00,775.00,0.20
West Soda,1128299,11/3/2022,South,Texas,Houston,Sprite,0.50,"7,750",3875.00,1356.25,0.35
West Soda,1128299,11/4/2022,South,Texas,Houston,Fanta,0.50,"6,250",3125.00,937.50,0.30
West Soda,1128299,11/5/2022,West,California,San Francisco,Powerade,0.55,"5,750",3162.50,1581.25,0.50
West Soda,1128299,11/6/2022,West,California,San Francisco,Dasani Water,0.50,"7,750",3875.00,581.25,0.15
West Soda,1128299,11/7/2022,West,California,San Francisco,Coca-Cola,0.40,"8,250",3300.00,1155.00,0.35
West Soda,1128299,11/8/2022,West,California,San Francisco,Diet Coke,0.50,"7,250",3625.00,725.00,0.20
West Soda,1128299,11/9/2022,West,California,San Francisco,Sprite,0.50,"7,250",3625.00,1268.75,0.35
West Soda,1128299,11/10/2022,West,California,San Francisco,Fanta,0.50,"5,750",2875.00,862.50,0.30
West Soda,1128299,11/11/2022,West,California,San Francisco,Powerade,0.55,"5,000",2750.00,1375.00,0.50
West Soda,1128299,11/12/2022,West,California,San Francisco,Dasani Water,0.50,"7,000",3500.00,525.00,0.15
West Soda,1128299,11/13/2022,West,California,San Francisco,Coca-Cola,0.50,"8,500",4250.00,1487.50,0.35
West Soda,1128299,11/14/2022,West,California,San Francisco,Diet Coke,0.60,"7,000",4200.00,840.00,0.20
West Soda,1128299,11/15/2022,West,California,San Francisco,Sprite,0.60,"7,000",4200.00,1470.00,0.35
West Soda,1128299,12/22/2022,West,California,San Francisco,Fanta,0.60,"6,000",3600.00,1080.00,0.30
West Soda,1128299,12/23/2022,West,California,San Francisco,Powerade,0.65,"5,000",3250.00,1625.00,0.50
West Soda,1128299,12/24/2022,West,California,San Francisco,Dasani Water,0.60,"7,000",4200.00,630.00,0.15
West Soda,1128299,12/25/2022,West,California,San Francisco,Coca-Cola,0.60,"8,750",5250.00,1837.50,0.35
West Soda,1128299,12/26/2022,West,California,San Francisco,Diet Coke,0.65,"6,750",4387.50,877.50,0.20
West Soda,1128299,12/27/2022,West,California,San Francisco,Sprite,0.65,"7,250",4712.50,1649.38,0.35
West Soda,1128299,12/28/2022,West,California,San Francisco,Fanta,0.60,"6,250",3750.00,1125.00,0.30
West Soda,1128299,12/29/2022,West,California,San Francisco,Powerade,0.65,"5,250",3412.50,1706.25,0.50
West Soda,1128299,12/30/2022,West,California,San Francisco,Dasani Water,0.80,"7,000",5600.00,840.00,0.15
West Soda,1128299,12/31/2022,West,California,San Francisco,Coca-Cola,0.60,"9,000",5400.00,2160.00,0.40
West Soda,1128299,1/1/2023,West,California,San Francisco,Diet Coke,0.65,"7,500",4875.00,1218.75,0.25
West Soda,1128299,1/2/2023,West,California,San Francisco,Sprite,0.65,"7,500",4875.00,1950.00,0.40
West Soda,1128299,1/3/2023,West,California,San Francisco,Fanta,0.60,"6,500",3900.00,1365.00,0.35
West Soda,1128299,1/4/2023,West,California,San Francisco,Powerade,0.65,"5,500",3575.00,1966.25,0.55
West Soda,1128299,1/5/2023,West,California,San Francisco,Dasani Water,0.80,"7,250",5800.00,1160.00,0.20
West Soda,1128299,1/6/2023,West,California,San Francisco,Coca-Cola,0.60,"9,750",5850.00,2340.00,0.40
West Soda,1128299,1/7/2023,West,California,San Francisco,Diet Coke,0.65,"8,250",5362.50,1340.63,0.25
West Soda,1128299,1/8/2023,West,California,San Francisco,Sprite,0.65,"8,250",5362.50,2145.00,0.40
West Soda,1128299,1/9/2023,West,California,San Francisco,Fanta,0.60,"7,000",4200.00,1470.00,0.35
West Soda,1128299,1/10/2023,West,California,San Francisco,Powerade,0.65,"5,750",3737.50,2055.63,0.55
West Soda,1128299,1/11/2023,West,California,San Francisco,Dasani Water,0.80,"8,750",7000.00,1400.00,0.20
West Soda,1128299,1/12/2023,West,California,San Francisco,Coca-Cola,0.60,"10,250",6150.00,2152.50,0.35
West Soda,1128299,1/13/2023,West,California,San Francisco,Diet Coke,0.65,"8,750",5687.50,1137.50,0.20
West Soda,1128299,1/14/2023,West,California,San Francisco,Sprite,0.65,"8,250",5362.50,1876.88,0.35
West Soda,1128299,1/15/2023,West,California,San Francisco,Fanta,0.60,"7,250",4350.00,1305.00,0.30
West Soda,1128299,1/16/2023,West,California,San Francisco,Powerade,0.65,"7,750",5037.50,2518.75,0.50
West Soda,1128299,1/17/2023,West,California,San Francisco,Dasani Water,0.80,"7,750",6200.00,930.00,0.15
West Soda,1128299,1/18/2023,West,California,San Francisco,Coca-Cola,0.65,"9,750",6337.50,2218.13,0.35
West Soda,1128299,1/19/2023,West,California,San Francisco,Diet Coke,0.70,"9,250",6475.00,1295.00,0.20
West Soda,1128299,1/20/2023,West,California,San Francisco,Sprite,0.65,"8,000",5200.00,1820.00,0.35
West Soda,1128299,1/21/2023,West,California,San Francisco,Fanta,0.65,"7,500",4875.00,1462.50,0.30
West Soda,1128299,1/22/2023,West,California,San Francisco,Powerade,0.75,"7,500",5625.00,2812.50,0.50
West Soda,1128299,1/23/2023,West,California,San Francisco,Dasani Water,0.80,"7,250",5800.00,870.00,0.15
West Soda,1128299,1/24/2023,West,California,San Francisco,Coca-Cola,0.55,"9,250",5087.50,1526.25,0.30
West Soda,1128299,1/25/2023,West,California,San Francisco,Diet Coke,0.60,"9,250",5550.00,832.50,0.15
West Soda,1128299,1/26/2023,West,California,San Francisco,Sprite,0.55,"7,750",4262.50,1278.75,0.30
West Soda,1128299,1/27/2023,West,California,San Francisco,Fanta,0.55,"7,250",3987.50,996.88,0.25
West Soda,1128299,1/28/2023,West,California,San Francisco,Powerade,0.65,"7,250",4712.50,2120.63,0.45
West Soda,1128299,1/29/2023,West,California,San Francisco,Dasani Water,0.70,"7,750",5425.00,542.50,0.10
West Soda,1128299,1/30/2023,West,California,San Francisco,Coca-Cola,0.55,"8,750",4812.50,1443.75,0.30
West Soda,1128299,1/31/2023,West,California,San Francisco,Diet Coke,0.60,"8,750",5250.00,787.50,0.15
West Soda,1128299,2/1/2023,West,California,San Francisco,Sprite,0.55,"7,000",3850.00,1155.00,0.30
West Soda,1128299,2/2/2023,West,California,San Francisco,Fanta,0.55,"6,750",3712.50,928.13,0.25
West Soda,1128299,2/3/2023,West,California,San Francisco,Powerade,0.65,"6,500",4225.00,1901.25,0.45
West Soda,1128299,2/4/2023,West,California,San Francisco,Dasani Water,0.70,"7,000",4900.00,490.00,0.10
West Soda,1128299,2/5/2023,West,California,San Francisco,Coca-Cola,0.55,"8,750",4812.50,1443.75,0.30
West Soda,1128299,2/6/2023,West,California,San Francisco,Diet Coke,0.60,"8,750",5250.00,787.50,0.15
West Soda,1128299,2/7/2023,West,California,San Francisco,Sprite,0.55,"7,250",3987.50,1196.25,0.30
West Soda,1128299,2/8/2023,West,California,San Francisco,Fanta,0.55,"7,000",3850.00,962.50,0.25
West Soda,1128299,2/9/2023,West,California,San Francisco,Powerade,0.65,"6,500",4225.00,1901.25,0.45
West Soda,1128299,2/10/2023,West,California,San Francisco,Dasani Water,0.70,"7,750",5425.00,542.50,0.10
West Soda,1128299,2/11/2023,West,California,San Francisco,Coca-Cola,0.55,"9,750",5362.50,1608.75,0.30
West Soda,1128299,2/12/2023,West,California,San Francisco,Diet Coke,0.60,"9,750",5850.00,877.50,0.15
West Soda,1128299,2/13/2023,West,California,San Francisco,Sprite,0.55,"7,750",4262.50,1278.75,0.30
West Soda,1128299,2/14/2023,West,California,San Francisco,Fanta,0.55,"7,750",4262.50,1065.63,0.25
West Soda,1128299,2/15/2023,West,California,San Francisco,Powerade,0.65,"7,000",4550.00,2047.50,0.45
West Soda,1128299,2/16/2023,West,California,San Francisco,Dasani Water,0.70,"8,000",5600.00,560.00,0.10
Target,1189833,2/17/2023,West,California,San Francisco,Coca-Cola,0.35,"7,000",2450.00,980.00,0.40
Target,1189833,2/18/2023,West,California,San Francisco,Diet Coke,0.45,"7,000",3150.00,787.50,0.25
Target,1189833,3/9/2023,West,California,San Francisco,Sprite,0.45,"7,000",3150.00,1260.00,0.40
Target,1189833,3/10/2023,West,California,San Francisco,Fanta,0.45,"5,500",2475.00,866.25,0.35
Target,1189833,3/11/2023,West,California,Los Angeles,Powerade,0.50,"5,000",2500.00,1375.00,0.55
Target,1189833,3/12/2023,West,California,Los Angeles,Dasani Water,0.45,"7,000",3150.00,630.00,0.20
Target,1189833,3/13/2023,West,California,Los Angeles,Coca-Cola,0.35,"7,500",2625.00,1050.00,0.40
Target,1189833,3/14/2023,West,California,Los Angeles,Diet Coke,0.45,"6,500",2925.00,731.25,0.25
Target,1189833,3/15/2023,West,California,Los Angeles,Sprite,0.45,"6,750",3037.50,1215.00,0.40
Target,1189833,3/16/2023,West,California,Los Angeles,Fanta,0.45,"5,250",2362.50,826.88,0.35
Target,1189833,3/17/2023,West,California,Los Angeles,Powerade,0.50,"4,500",2250.00,1237.50,0.55
Target,1189833,3/18/2023,West,California,Los Angeles,Dasani Water,0.45,"6,500",2925.00,585.00,0.20
Target,1189833,3/19/2023,West,California,Los Angeles,Coca-Cola,0.35,"8,000",2800.00,1120.00,0.40
Target,1189833,3/20/2023,West,California,Los Angeles,Diet Coke,0.45,"6,500",2925.00,731.25,0.25
Target,1189833,3/21/2023,West,California,Los Angeles,Sprite,0.45,"6,500",2925.00,1170.00,0.40
Target,1189833,3/22/2023,West,California,Los Angeles,Fanta,0.45,"5,500",2475.00,866.25,0.35
Target,1189833,3/23/2023,West,California,Los Angeles,Powerade,0.50,"4,250",2125.00,1168.75,0.55
Target,1189833,4/6/2023,West,California,Los Angeles,Dasani Water,0.45,"6,250",2812.50,562.50,0.20
Target,1189833,4/7/2023,West,California,Los Angeles,Coca-Cola,0.45,"8,000",3600.00,1440.00,0.40
Target,1189833,4/8/2023,West,California,Los Angeles,Diet Coke,0.50,"6,000",3000.00,750.00,0.25
Target,1189833,4/9/2023,West,California,Los Angeles,Sprite,0.50,"6,250",3125.00,1250.00,0.40
Target,1189833,4/10/2023,West,California,Los Angeles,Fanta,0.45,"5,250",2362.50,826.88,0.35
Target,1189833,4/11/2023,West,California,Los Angeles,Powerade,0.50,"4,250",2125.00,1168.75,0.55
Target,1189833,4/12/2023,West,California,Los Angeles,Dasani Water,0.65,"6,000",3900.00,780.00,0.20
Target,1189833,4/13/2023,West,California,Los Angeles,Coca-Cola,0.45,"8,000",3600.00,1440.00,0.40
Target,1189833,4/14/2023,West,California,Los Angeles,Diet Coke,0.50,"6,500",3250.00,812.50,0.25
Target,1189833,4/15/2023,West,California,Los Angeles,Sprite,0.50,"6,500",3250.00,1300.00,0.40
Target,1189833,4/16/2023,West,California,Los Angeles,Fanta,0.45,"5,500",2475.00,866.25,0.35
Target,1189833,4/17/2023,West,California,Los Angeles,Powerade,0.50,"4,500",2250.00,1237.50,0.55
Target,1189833,4/18/2023,West,California,Los Angeles,Dasani Water,0.65,"6,250",4062.50,812.50,0.20
Target,1189833,4/19/2023,West,California,Los Angeles,Coca-Cola,0.45,"9,000",4050.00,1620.00,0.40
Target,1189833,4/20/2023,West,California,Los Angeles,Diet Coke,0.50,"7,500",3750.00,937.50,0.25
Target,1189833,4/21/2023,West,California,Los Angeles,Sprite,0.50,"7,500",3750.00,1500.00,0.40
Target,1189833,4/22/2023,West,California,Los Angeles,Fanta,0.45,"6,250",2812.50,984.38,0.35
Target,1189833,4/23/2023,West,California,Los Angeles,Powerade,0.50,"5,000",2500.00,1375.00,0.55
Target,1189833,4/24/2023,West,California,Los Angeles,Dasani Water,0.65,"8,000",5200.00,1040.00,0.20
Target,1189833,4/25/2023,West,California,Los Angeles,Coca-Cola,0.45,"9,500",4275.00,1710.00,0.40
Target,1189833,4/26/2023,West,California,Los Angeles,Diet Coke,0.50,"8,000",4000.00,1000.00,0.25
Target,1189833,4/27/2023,West,California,Los Angeles,Sprite,0.50,"7,500",3750.00,1500.00,0.40
